"","site","date","spacing_m","temp_avg","sal_avg","dist_from_bags","reclaimed","absent","consumed"
"361","mera",20200829,1,29.1,32.5,10,15,7,"1"
"362","mera",20200829,1,29.1,32.5,10,15,7,"0"
"363","mera",20200829,1,29.1,32.5,10,15,7,"0"
"364","mera",20200829,1,29.1,32.5,10,15,7,"0"
"365","mera",20200829,1,29.1,32.5,10,15,7,"0"
"366","mera",20200829,1,29.1,32.5,10,15,7,"0"
"367","mera",20200829,1,29.1,32.5,10,15,7,"0"
"368","mera",20200829,1,29.1,32.5,10,15,7,"0"
"369","mera",20200829,1,29.1,32.5,10,15,7,"0"
"370","mera",20200829,1,29.1,32.5,20,15,7,"1"
"371","mera",20200829,1,29.1,32.5,20,15,7,"1"
"372","mera",20200829,1,29.1,32.5,20,15,7,"1"
"373","mera",20200829,1,29.1,32.5,20,15,7,"1"
"374","mera",20200829,1,29.1,32.5,20,15,7,"1"
"375","mera",20200829,1,29.1,32.5,20,15,7,"1"
"376","mera",20200829,1,29.1,32.5,20,15,7,"0"
"377","mera",20200829,1,29.1,32.5,20,15,7,"0"
"378","mera",20200829,1,29.1,32.5,20,15,7,"0"
"379","mera",20200829,1,29.1,32.5,20,15,7,"0"
"380","mera",20200829,1,29.1,32.5,20,15,7,"0"
"381","mera",20200829,1,29.1,32.5,20,15,7,"0"
"382","mera",20200829,1,29.1,32.5,20,15,7,"0"
"383","mera",20200829,1,29.1,32.5,20,15,7,"0"
"384","mera",20200829,1,29.1,32.5,40,15,2,"1"
"385","mera",20200829,1,29.1,32.5,40,15,2,"0"
"386","mera",20200829,1,29.1,32.5,40,15,2,"0"
"387","mera",20200829,1,29.1,32.5,40,15,2,"0"
"388","mera",20200829,1,29.1,32.5,40,15,2,"0"
"389","mera",20200829,1,29.1,32.5,40,15,2,"0"
"390","mera",20200829,1,29.1,32.5,40,15,2,"0"
"391","mera",20200829,1,29.1,32.5,40,15,2,"0"
"392","mera",20200829,1,29.1,32.5,40,15,2,"0"
"393","mera",20200829,1,29.1,32.5,40,15,2,"0"
"394","mera",20200829,1,29.1,32.5,40,15,2,"0"
"395","mera",20200829,1,29.1,32.5,40,15,2,"0"
"396","mera",20200829,1,29.1,32.5,40,15,2,"0"
"397","mera",20200829,1,29.1,32.5,40,15,2,"0"
"398","styron",20200828,3,28.25,26,0,20,1,"0"
"399","styron",20200828,3,28.25,26,0,20,1,"0"
"400","styron",20200828,3,28.25,26,0,20,1,"0"
"401","styron",20200828,3,28.25,26,0,20,1,"0"
"402","styron",20200828,3,28.25,26,0,20,1,"0"
"403","styron",20200828,3,28.25,26,0,20,1,"0"
"404","styron",20200828,3,28.25,26,0,20,1,"0"
"405","styron",20200828,3,28.25,26,0,20,1,"0"
"406","styron",20200828,3,28.25,26,0,20,1,"0"
"407","styron",20200828,3,28.25,26,0,20,1,"0"
"408","styron",20200828,3,28.25,26,0,20,1,"0"
"409","styron",20200828,3,28.25,26,0,20,1,"0"
"410","styron",20200828,3,28.25,26,0,20,1,"0"
"411","styron",20200828,3,28.25,26,0,20,1,"0"
"412","styron",20200828,3,28.25,26,0,20,1,"0"
"413","styron",20200828,3,28.25,26,0,20,1,"0"
"414","styron",20200828,3,28.25,26,0,20,1,"0"
"415","styron",20200828,3,28.25,26,0,20,1,"0"
"416","styron",20200828,3,28.25,26,0,20,1,"0"
"417","styron",20200828,3,28.25,26,2.5,20,1,"0"
"418","styron",20200828,3,28.25,26,2.5,20,1,"0"
"419","styron",20200828,3,28.25,26,2.5,20,1,"0"
"420","styron",20200828,3,28.25,26,2.5,20,1,"0"
"421","styron",20200828,3,28.25,26,2.5,20,1,"0"
"422","styron",20200828,3,28.25,26,2.5,20,1,"0"
"423","styron",20200828,3,28.25,26,2.5,20,1,"0"
"424","styron",20200828,3,28.25,26,2.5,20,1,"0"
